seasonNumber,episodeNumber,episodeTitle,episodeAirDate,episodeDescription,millionViewers,averageRating,numVotes,Writer_1,Star_1,Duration,Director
5,7,The Gift,2015-05-24,Jon heads east as trouble begins to stir for Sam and Gilly at Castle Black. Sansa asks Theon for help. Tyrion and Jorah are sold as slaves. Cersei savors her triumph over the Tyrells as new plots are developed in the shadows.,5.4,8.9,29072,George R.R. Martin,Peter Dinklage,59,Miguel Sapochnik
5,8,Hardhome,2015-05-31,Tyrion advises Daenerys. Sansa forces Theon to tell her a secret. Cersei remains stubborn. Arya meets her first target. Jon and Tormund meet with the Wildling Elders.,7.01,9.8,98542,George R.R. Martin,Peter Dinklage,61,Miguel Sapochnik
5,9,The Dance of Dragons,2015-06-07,Jon and the Wildlings return to Castle Black. Jaime meets with Doran Martell. Stannis makes a hard choice. Arya runs into Ser Meryn Trant. Daenerys attends the grand reopening of the fighting pits.,7.14,9.4,42923,George R.R. Martin,Peter Dinklage,52,David Nutter
5,10,Mother's Mercy,2015-06-14,Stannis arrives at Winterfell. Tyrion runs Meereen as Daario and Jorah go after Daenerys. Jaime and Myrcella leave Dorne. Jon sends Sam and Gilly to Oldtown. Arya challenges the Many-Faced God. Cersei confesses her sins.,8.11,9.1,41645,George R.R. Martin,Peter Dinklage,60,David Nutter
6,1,The Red Woman,2016-04-24,The fate of Jon Snow is revealed. Daenerys is brought before Khal Moro. Tyrion gets used to living in Meereen. Ramsay sends his dogs after Theon and Sansa. Ellaria and the Sand Snakes make their move. Cersei mourns for Myrcella.,7.94,8.5,39317,George R.R. Martin,Peter Dinklage,50,Jeremy Podeswa
6,2,Home,2016-05-01,Bran trains with the Three-Eyed Raven. Tommen meets with Cersei. Tyrion makes a bold move. Theon leaves while at Pyke new issues arise. Ramsay's brother is born. Davos asks Melisandre for a miracle.,7.29,9.3,46046,George R.R. Martin,Peter Dinklage,54,Jeremy Podeswa
6,3,Oathbreaker,2016-05-08,"Daenerys arrives at Vaes Dothrak. Sam and Gilly sail for Horn Hill. Arya trains as No One. Varys finds information on the Sons of the Harpy. Ramsay receives a gift. Tommen meets with the High Sparrow. At Castle Black, a miracle occurs.",7.28,8.7,33501,George R.R. Martin,Peter Dinklage,52,Daniel Sackheim
6,4,Book of the Stranger,2016-05-15,Sansa arrives at Castle Black. Tyrion makes a deal with the Slave Masters. Jorah and Daario sneak into Vaes Dothrak. Ramsay sends a letter to Jon. Theon arrives at Pyke. Cersei and Olenna Tyrell plot against the High Sparrow.,7.82,9.1,35984,George R.R. Martin,Peter Dinklage,59,Daniel Sackheim
6,5,The Door,2016-05-22,Sansa and Jon make plans. Arya is given another chance to prove herself. Jorah confesses a secret to Daenerys. Tyrion meets with a Red Priestess. Yara finds her rule tested. Bran discovers the origin of the White Walkers.,7.89,9.7,69672,George R.R. Martin,Peter Dinklage,57,Jack Bender
6,6,Blood of My Blood,2016-05-29,Bran and Meera find a new ally. Gilly meets Sam's family. Arya makes a difficult choice. The Lannisters and Tyrells march against the High Sparrow.,6.71,8.4,33221,George R.R. Martin,Nikolaj Coster-Waldau,52,Jack Bender
6,7,The Broken Man,2016-06-05,Jon and Sansa gather troops. Jaime arrives at Riverrun. Olenna Tyrell plans to leave King's Landing. Theon and Yara plan a destination. Arya makes plans to leave.,7.8,8.5,32375,George R.R. Martin,Nikolaj Coster-Waldau,51,Mark Mylod
6,8,No One,2016-06-12,Brienne arrives at Riverrun. Arya seeks shelter. Jaime meets with Edmure Tully. Cersei challenges the Faith. Sandor Clegane hunts for revenge. Tyrion faces the consequences of earlier decisions.,7.6,8.4,36532,George R.R. Martin,Peter Dinklage,59,Mark Mylod
6,9,Battle of the Bastards,2016-06-19,Jon and Sansa face Ramsay Bolton on the fields of Winterfell. Daenerys strikes back at her enemies. Theon and Yara arrive in Meereen.,7.66,9.9,203623,George R.R. Martin,Peter Dinklage,60,Miguel Sapochnik
6,10,The Winds of Winter,2016-06-26,Cersei and Loras Tyrell stand trial by the gods. Daenerys prepares to set sail for Westeros. Davos confronts Melisandre. Sam and Gilly arrive in Oldtown. Bran discovers a long kept secret. Lord Frey has an uninvited guest.,8.89,9.9,143565,George R.R. Martin,Peter Dinklage,68,Miguel Sapochnik
7,1,Dragonstone,2017-07-16,"Jon organizes the North's defenses. Cersei tries to even the odds. Daenerys comes home. Arya reminds the Freys ""The North remembers"". Sam adapts to life in Oldtown. Night King makes his way south.",10.11,8.6,50099,George R.R. Martin,Peter Dinklage,59,Jeremy Podeswa
7,2,Stormborn,2017-07-23,Daenerys receives an unexpected visitor. Jon faces resistance. Tyrion plans the conquest of Westeros. Cersei gathers her allies. Arya has a reunion with old friends. Sam risks his career and life.,9.27,8.9,43607,George R.R. Martin,Peter Dinklage,59,Mark Mylod
7,3,The Queen's Justice,2017-07-30,Daenerys and Jon meet. Cersei gains a new ally. Sansa receives an unexpected visitor. Sam is confronted for his actions.,9.25,9.2,45638,George R.R. Martin,Peter Dinklage,63,Mark Mylod
7,4,The Spoils of War,2017-08-06,Daenerys takes matters into her own hands. Arya reaches her destination. Jaime and Bronn collect the spoils from the war with the Tyrells.,10.17,9.7,86505,George R.R. Martin,Peter Dinklage,50,Matt Shakman
7,5,Eastwatch,2017-08-13,Daenerys demands loyalty from the surviving Lannister soldiers; Jon heeds Bran's warning about White Walkers on the move; Cersei vows to vanquish anyone or anything that stands in her way.,10.72,8.8,43350,George R.R. Martin,Peter Dinklage,59,Matt Shakman
7,6,Beyond the Wall,2017-08-20,Jon and his team go beyond the wall to capture a wight. Daenerys has to make a tough decision.,10.24,9.1,62987,George R.R. Martin,Peter Dinklage,70,Alan Taylor
7,7,The Dragon and the Wolf,2017-08-27,Season finale of the epic series.,12.07,9.4,62835,George R.R. Martin,Peter Dinklage,80,Jeremy Podeswa
8,1,Winterfell,2019-04-14,Jon and Daenerys arrive in Winterfell and are met with skepticism. Sam learns about the fate of his family. Cersei gives Euron the reward he aims for. Theon follows his heart.,11.76,7.6,130244,George R.R. Martin,Peter Dinklage,54,David Nutter
8,2,A Knight of the Seven Kingdoms,2019-04-21,The battle at Winterfell is approaching. Jaime is confronted with the consequences of the past. A tense interaction between Sansa and Daenerys follows.,10.29,7.8,128599,George R.R. Martin,Peter Dinklage,58,David Nutter
8,3,The Long Night,2019-04-28,The Night King and his army have arrived at Winterfell and the great battle begins.,12.02,7.5,212672,George R.R. Martin,Peter Dinklage,82,Miguel Sapochnik
8,4,The Last of the Starks,2019-05-05,"In the wake of a costly victory, Jon and Daenerys look to the south as Tyrion eyes a compromise that could save countless lives.",11.8,5.5,162593,George R.R. Martin,Peter Dinklage,78,David Nutter
8,5,The Bells,2019-05-12,Daenerys and Cersei weigh their options as an epic conflict looms at King's Landing.,12.48,6.0,189472,George R.R. Martin,Peter Dinklage,78,Miguel Sapochnik
8,6,The Iron Throne,2019-05-19,"In the aftermath of the devastating attack on King's Landing, Daenerys must face the survivors.",13.61,4.0,242237,George R.R. Martin,Peter Dinklage,80,David Benioff
